,Antiguedad del negocio,¿Cuántos productos aproximadamente maneja en su tienda?,En promedio ¿cada cuanto realiza pedidos a sus proveedores o compra sus productos? (Use la cifra más cercana),¿Qué forma de pago permite a sus clientes?,"¿Ha participado en algún plan de colaboración con otras tiendas o empresas? 
(por ejemplo, esfuerzos conjuntos de marketing, compras al por mayor, servicios de entrega compartidos)",En los últimos seis meses ¿ha implementado alguna tecnología digital en su negocio?,"En caso de una respuesta afirmativa a la pregunta anterior, especifique los tipos de tecnología implementados",¿A través de cuáles de los siguientes medios se comunicas con los proveedores?,¿A través de cuáles de los siguientes medios recibes pedidos de los clientes?,¿Cuál es su grado de satisfacción con las soluciones tecnológicas que ha implantado en su tienda?,¿Consideran necesarias las iniciativas de los proveedores para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,¿Considera necesario el apoyo gubernamental para ayudar a las tiendas a implantar soluciones tecnológicas de forma eficaz? ,"¿Cuántos clientes, en promedio, recibe en un día entre semana?","¿Cuántos clientes, en promedio, recibe en un día del fin de semana?","En una escala de 1 a 10, ¿cómo evaluaría sus esfuerzos para reducir su impacto ambiental?"
149,Entre 3 y 5 años,500,1 vez al día,Efectivo,No,No,No aplica,"Visitas personales, Llamadas telefónicas, Mensajes de texto",Visitas personales,Algo insatisfecho,No,No,15.0,10.0,6
150,Entre 1 y 3 años,200,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras)",Llamadas telefónicas,Visitas personales,Algo insatisfecho,No,No,30.0,35.0,4
151,Entre 3 y 5 años,No maneja produvtos,No realiza pedidos,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,5.0,1.0,7
152,Entre 3 y 5 años,125,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia ",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta, Plataforma propia ","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Mensajes de texto, Páginas web, Software o plataformas compartidas",Algo satisfecho,No,No,70.0,150.0,10
153,Más de 5 años,15,No tiene proveedores ,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Plataformas de pedidos en línea,No tiene proveedores ,"Visitas personales, Software o plataformas compartidas",Muy satisfecho,Sí,Sí,15.0,25.0,9
154,Entre 6 meses y un año,1000,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Terminal para el pago con tarjeta, Punto de venta","Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,Sí,70.0,100.0,10
155,Más de 5 años,60,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,Sí,Sí,30.0,45.0,2
156,Más de 5 años,15,1 vez al día,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)",Llamadas telefónicas,"Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,70.0,90.0,8
157,Más de 5 años,Muchos no tiene el dato exacto ,1 vez al mes,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo insatisfecho,No,Sí,5.0,5.0,8
158,Entre 6 meses y un año,100,1 vez al mes,"Efectivo, Tarjeta de debito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,No,10.0,25.0,10
159,Entre 3 y 5 años,6,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Software o plataformas compartidas",Muy satisfecho,Sí,Sí,100.0,150.0,8
160,Más de 5 años,15,2 veces a la semana,"Efectivo, Transferencia ",No,No,"Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta",Llamadas telefónicas,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,Sí,30.0,65.0,7
161,Más de 5 años,180,1 vez al día,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,Terminal para el pago con tarjeta,"Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,Sí,120.0,65.0,6
162,Más de 5 años,2,Cada quincena,Efectivo,Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo satisfecho,Sí,Sí,3.0,6.0,6
163,Más de 5 años,20,3,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros), Vídeollamada, Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,No,Sí,15.0,25.0,8
164,Más de 5 años,40,1 vez al día,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo satisfecho,No,No,30.0,20.0,5
165,Más de 5 años,15,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,Sí,10.0,1.0,8
166,Entre 3 y 5 años,6,1 vez al día,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,No,Sí,40.0,1.0,6
167,Más de 5 años,200,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,Terminal para el pago con tarjeta,"Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,No,30.0,60.0,5
168,Entre 3 y 5 años,400,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)","Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,No,No,5.0,20.0,8
169,Entre 1 y 3 años,50,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas",Visitas personales,Muy satisfecho,No,No,25.0,15.0,3
170,Entre 3 y 5 años,200,4 veces a la semanas,Efectivo,No,Sí,"Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy insatisfecho,Sí,Sí,50.0,50.0,7
171,Entre 0 y 6 meses,1,1 vez a la semana,"Efectivo, Transferencia ",No,Sí,"Plataformas de pedidos en línea, Lectura de barra para pagas ","Visitas personales, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Pedido a domicilio ",Algo satisfecho,No,No,200.0,150.0,2
172,Más de 5 años,3,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Correo electrónico,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Páginas web",Muy satisfecho,Sí,Sí,110.0,100.0,8
173,Más de 5 años,10,1 vez al día,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)",Visitas personales,"Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,No,150.0,300.0,10
174,Más de 5 años,219,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,No,No,12.0,25.0,5
175,Más de 5 años,Mas de 20 productos,2 veces a la semana,Efectivo,Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)",Visitas personales,Visitas personales,Algo satisfecho,No,No,100.0,100.0,8
176,Entre 0 y 6 meses,270,Una vez cada 15 días ,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia ",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta, Cámaras, base de datos ","Visitas personales, Redes sociales (Facebook, Instagram, otros)","Visitas personales, Páginas web",Algo satisfecho,Sí,Sí,12.0,18.0,7
177,Más de 5 años,10,3 a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,Terminal para el pago con tarjeta,"Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,5.0,8.0,9
178,Más de 5 años,30,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo insatisfecho,No hay trato,No,80.0,200.0,3
179,Más de 5 años,10,No realiza pedidos,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea",Ninguno,Visitas personales,Algo insatisfecho,No,No,20.0,60.0,1
180,Entre 3 y 5 años,100,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,Sí,6.0,8.0,8
181,Entre 1 y 3 años,350,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea","Mensajería instantánea (Whatsapp, telegram, otros)","Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,No,15.0,40.0,8
182,Entre 3 y 5 años,100,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,No,No,40.0,60.0,6
183,Entre 3 y 5 años,5,1 vez a la semana,Efectivo,No,No,"Redes sociales (Instagram, X, entre otras)",Visitas personales,Visitas personales,Algo satisfecho,No,Sí,10.0,25.0,8
184,Más de 5 años,20,1 vez a la semana,Efectivo,No,No,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajes de texto, Páginas web",Visitas personales,Algo satisfecho,Sí,No,15.0,12.0,5
185,Entre 0 y 6 meses,20,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,Sí,2.0,3.0,7
186,Entre 1 y 3 años,9,1 vez a la semana,Efectivo,No,No,No,"Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo insatisfecho,No,Tal vez,4.0,2.0,4
187,Más de 5 años,2,1 vez a la semana,"Efectivo, Transferencia ",Sí,Sí,Impresoras ,"Llamadas telefónicas, Correo electrónico","Visitas personales, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,Sí,Sí,100.0,50.0,8
188,Entre 1 y 3 años,25,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,Sí,Sí,20.0,50.0,8
189,Más de 5 años,50,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas",Muy satisfecho,No,No,12.0,7.0,6
190,Más de 5 años,200,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico",Muy satisfecho,Sí,No,100.0,39.9,3
191,Más de 5 años,100,1 vez al día,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas",Visitas personales,Algo insatisfecho,No,No,25.0,25.0,8
192,Más de 5 años,100,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,Administracion ,"Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Muy satisfecho,Sí,No,30.0,100.0,10
193,Más de 5 años,100,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,No,35.0,50.0,8
194,Entre 1 y 3 años,24,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,Sí,Sí,22.0,1.0,8
195,Entre 0 y 6 meses,10,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Llamadas telefónicas,Visitas personales,Algo satisfecho,No,No,14.0,1.0,8
196,Más de 5 años,15,1 vez a la semana,Efectivo,No,No,"Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta",Llamadas telefónicas,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo insatisfecho,No,No,60.0,40.0,1
197,Más de 5 años,50,2 veces al mes,Efectivo,No,Sí,Plataformas de pedidos en línea,"Mensajería instantánea (Whatsapp, telegram, otros), Páginas web",Visitas personales,Muy satisfecho,No,No,5.0,4.0,10
198,Entre 1 y 3 años,30,2 veces al mes,Efectivo,No,No,Plataformas de pedidos en línea,Visitas personales,Visitas personales,Muy satisfecho,No,No,80.0,40.0,8
199,Más de 5 años,100,No realiza pedidos,"Efectivo, Tarjeta de debito",No,No,Plataformas de pedidos en línea,Visitas personales,Visitas personales,Algo satisfecho,No,Sí,20.0,30.0,8
200,Más de 5 años,200,1 vez al día,Efectivo,No,No,Plataformas de pedidos en línea,"Llamadas telefónicas, Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo satisfecho,No,No,60.0,50.0,8
201,Entre 1 y 3 años,100,3 veces a la semana,Efectivo,No,No,Plataformas de pedidos en línea,Visitas personales,Visitas personales,Algo satisfecho,Sí,Sí,70.0,35.0,8
202,Entre 6 meses y un año,25,1 vez al día,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,Plataformas de pedidos en línea,"Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,25.0,10.0,3
203,Más de 5 años,500,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,No,Plataformas de pedidos en línea,"Visitas personales, Llamadas telefónicas",Visitas personales,Algo satisfecho,No,No,60.0,85.0,9
204,Entre 0 y 6 meses,19,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)",Visitas personales,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo insatisfecho,No,Sí,10.0,1.0,4
205,Entre 1 y 3 años,3,1 vez al mes,Efectivo,No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)","Redes sociales (Facebook, Instagram, otros)","Redes sociales (Facebook, Instagram, otros)",Algo satisfecho,No,Sí,200.0,70.0,3
206,Más de 5 años,80,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,30.0,40.0,7
207,Entre 6 meses y un año,7,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Páginas web",Muy satisfecho,Sí,Sí,30.0,25.0,1
208,Entre 1 y 3 años,10,2 veces al mes,"Efectivo, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)",Visitas personales,Visitas personales,Algo satisfecho,Sí,No,2.0,1.0,7
209,Más de 5 años,40,1 vez a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea",Llamadas telefónicas,"Visitas personales, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Páginas web",Muy satisfecho,No,No,15.0,4.0,8
210,Entre 3 y 5 años,150,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Páginas web",Algo satisfecho,No,No,20.0,25.0,8
211,Entre 1 y 3 años,10,1 vez al mes ,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia ",Sí,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Plataformas de pedidos en línea, Terminal para el pago con tarjeta","Mensajes de texto, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo satisfecho,Sí,Sí,1.0,1.0,9
212,Más de 5 años,700,1 vez a la semana,"Efectivo, Tarjeta de debito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,Terminal para el pago con tarjeta,Visitas personales,Visitas personales,Muy satisfecho,No,No,250.0,180.0,10
213,Más de 5 años,200,2 veces a la semana,Efectivo,No,No,Terminal para el pago con tarjeta,"Visitas personales, Software o plataformas compartidas",Visitas personales,Muy insatisfecho,Sí,Sí,40.0,1.0,8
214,Más de 5 años,120,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Redes sociales (Instagram, X, entre otras)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,No,No,50.0,75.0,8
215,Entre 1 y 3 años,12,1 vez al mes ,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia ",No,No,"Redes sociales (Instagram, X, entre otras)",Llamadas telefónicas,Visitas personales,Algo satisfecho,No,Sí,15.0,6.0,7
216,Más de 5 años,500,3 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros), Redes sociales (Facebook, Instagram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,No,100.0,50.0,7
217,Entre 1 y 3 años,4,2 veces al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Muy satisfecho,Sí,No,40.0,120.0,1
218,Más de 5 años,1000,1 vez al mes,Efectivo,Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras)","Llamadas telefónicas, Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Algo satisfecho,No,No,5.0,8.0,9
219,Más de 5 años,50,2 veces a la semana,"Efectivo, Tarjeta de debito, Tarjeta de crédito",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas","Visitas personales, Llamadas telefónicas, Mensajes de texto, Correo electrónico, Mensajería instantánea (Whatsapp, Telegram, Google Chat), Redes sociales (Facebook, Instagram, otros), Páginas web",Muy satisfecho,Sí,Sí,55.0,200.0,3
220,Más de 5 años,3000,1 vez a la semana,"Efectivo, Tarjeta de debito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",Sí,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo insatisfecho,No,No,20.0,30.0,8
221,Más de 5 años,300,1 vez a la semana,Efectivo,No,No,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras), Terminal para el pago con tarjeta","Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, telegram, otros)",Visitas personales,Algo insatisfecho,No,Sí,20.0,10.0,10
222,Más de 5 años,1600,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, Transferencia ",No,Sí,"Comunicación directa con los clientes (Whatsapp, Telegram, entre otras), Redes sociales (Instagram, X, entre otras)",Llamadas telefónicas,"Visitas personales, Llamadas telefónicas, Mensajería instantánea (Whatsapp, Telegram, Google Chat)",Muy satisfecho,Sí,Sí,100.0,1.0,10
223,Más de 5 años,40,1 vez a la semana,Efectivo,No,Sí,"Redes sociales (Instagram, X, entre otras)","Correo electrónico, Mensajería instantánea (Whatsapp, telegram, otros)","Visitas personales, Correo electrónico",Muy satisfecho,Sí,No,20.0,1.0,8
224,Más de 5 años,150,1 vez al mes,"Efectivo, Tarjeta de debito, Tarjeta de crédito, CoDi/Mercado Pago/Paypal/otras pasarelas de pago",No,No,"Redes sociales (Instagram, X, entre otras)",Visitas personales,Visitas personales,Muy satisfecho,No,No,25.0,20.0,6
